10024159102060;;;英汉口译技能教程 卢信朝 正品保证，70%城市次日达，进入店铺更多优惠！;;;31.10;;;https://item.jd.com/10024159102060.html
10027318288492;;;新编汉语 英汉口译教程9787040373042;;;38.16;;;https://item.jd.com/10027318288492.html
10027022124376;;;英汉口译笔记法教程 正品保证，70%城市次日达，进入店铺更多优惠！;;;23.70;;;https://item.jd.com/10027022124376.html
69885580867;;;英汉口译教程 任文 编 教学方法及理论 英汉口译教程 任文 编 教学方法及理论;;;40.40;;;https://item.jd.com/69885580867.html
10027539833781;;;当代医学英汉笔译与口译教程 当代医学英汉笔译与口译教程;;;31.00;;;https://item.jd.com/10027539833781.html
10028237977621;;;正版中国—东盟商务英汉口译阅读教程 正版中国—东盟商务英汉口译阅读教程;;;14.20;;;https://item.jd.com/10028237977621.html
68160762750;;;英汉口译理论与实践 江晓梅 编 正品保证，70%城市次日达，进入店铺更多优惠！;;;16.10;;;https://item.jd.com/68160762750.html
10023578308760;;;新英汉口译实践 梅德明 正版现货，可开发票，下单联系在线客服为您查询书籍现货实时库存!;;;22.54;;;https://item.jd.com/10023578308760.html
10023323950567;;;新编英汉口译教程9787300138831 新编英汉口译教程9787300138831;;;36.20;;;https://item.jd.com/10023323950567.html
10190674984;;;英汉口译理论研究导引(大学翻译学研究型系列教材);;;25.90;;;https://item.jd.com/10190674984.html
10027778063439;;;实用经贸汉英:英汉口译 实用经贸汉英:英汉口译;;;36.62;;;https://item.jd.com/10027778063439.html
42900412010;;;英汉口译理论与实践 江晓梅 编 正品保证，70%城市次日达，进入店铺更多优惠！;;;16.50;;;https://item.jd.com/42900412010.html
10026957326961;;;新编英汉口译教程- 王建华　主编 正版现货,下单速发,团购请咨询优惠;;;28.00;;;https://item.jd.com/10026957326961.html
69885555722;;;英汉口译教程 正品保证，70%城市次日达，进入店铺更多优惠！;;;39.90;;;https://item.jd.com/69885555722.html
10026575104076;;;英汉口译技能教程 卢信朝 正品保证，70%城市次日达，进入店铺更多优惠！;;;31.10;;;https://item.jd.com/10026575104076.html
10022021380749;;;英汉双向口译实践教程 正版现货，有问题联系在线客服;;;115.24;;;https://item.jd.com/10022021380749.html
10022022836974;;;汉英英汉高级口译教程 汉英英汉高级口译教程;;;42.20;;;https://item.jd.com/10022022836974.html
10024193227951;;;实用经贸汉英、英汉口译无 正品保证，70%城市次日达，进入店铺更多优惠！;;;22.00;;;https://item.jd.com/10024193227951.html
10026623298103;;;高级英汉汉英口译教程：第一册 海量图书，售后无忧，欢迎下单选购，可开电子发票。;;;40.22;;;https://item.jd.com/10026623298103.html
10026761750334;;;新编英汉口译教程9787300138831 新编英汉口译教程9787300138831;;;28.80;;;https://item.jd.com/10026761750334.html
66651194258;;;实用经贸汉英、英汉口译 无 著 外语－实用英语;;;22.60;;;https://item.jd.com/66651194258.html
